service_id,date,exception_type
2.109.84.3159.2877,20200902,1
2.109.84.3159.2877,20200903,1
2.109.84.3159.2877,20200904,1
2.109.84.3159.2877,20200907,1
2.109.84.3159.2877,20200908,1
2.109.84.3159.2877,20200909,1
2.109.84.3159.2877,20200910,1
2.109.84.3159.2877,20200914,1
2.109.84.3159.2877,20200915,1
2.109.84.3159.2877,20200916,1
2.109.84.3159.2877,20200917,1
2.109.84.3159.2877,20200918,1
2.109.84.3159.2877,20200921,1
2.109.84.3159.2877,20200922,1
2.109.84.3159.2877,20200923,1
2.109.84.3159.2877,20200925,1
2.109.84.3159.2877,20200928,1
2.109.84.3159.2877,20200929,1
2.109.84.3159.2877,20200930,1
2.109.84.3159.2877,20201001,1
2.109.84.3159.2877,20201002,1
2.109.84.3159.2877,20201005,1
2.109.84.3159.2877,20201006,1
2.109.84.3159.2877,20201007,1
2.109.84.3159.2877,20201008,1
2.109.84.3159.2877,20201009,1
2.109.84.3159.2877,20201013,1
2.109.84.3159.2877,20201014,1
2.109.84.3159.2877,20201015,1
2.109.84.3159.2877,20201016,1
2.109.84.3159.2877,20201019,1
2.109.84.3159.2877,20201020,1
2.109.84.3159.2877,20201021,1
2.109.84.3159.2877,20201022,1
2.109.84.3159.2877,20201023,1
2.109.84.3159.2877,20201026,1
2.109.84.3159.2877,20201027,1
2.109.84.3159.2877,20201028,1
2.109.84.3159.2877,20201029,1
2.109.84.3159.2877,20201030,1
2.109.84.3159.2877,20201102,1
2.109.84.3159.2877,20201103,1
2.109.84.3159.2877,20201104,1
2.109.84.3159.2877,20201105,1
2.109.84.3159.2877,20201106,1
2.109.84.3159.2877,20201109,1
2.109.84.3159.2877,20201110,1
2.109.84.3159.2877,20201111,1
2.109.84.3159.2877,20201112,1
2.109.84.3159.2877,20201113,1
2.109.84.3159.2877,20201116,1
2.109.84.3159.2877,20201117,1
2.109.84.3159.2877,20201118,1
2.109.84.3159.2877,20201119,1
2.109.84.3159.2877,20201120,1
2.109.84.3159.2877,20201123,1
2.109.84.3159.2877,20201124,1
2.109.84.3159.2877,20201125,1
2.109.84.3159.2877,20201126,1
2.109.84.3159.2877,20201127,1
2.109.84.3159.2877,20201130,1
2.109.84.3159.2877,20201201,1
2.109.84.3159.2877,20201202,1
2.109.84.3159.2877,20201203,1
2.109.84.3159.2877,20201204,1
2.109.84.3159.2877,20201207,1
2.109.84.3159.2877,20201209,1
2.109.84.3159.2877,20201210,1
2.109.84.3159.2877,20201211,1
2.109.84.3159.2877,20201214,1
2.109.84.3159.2877,20201215,1
2.109.84.3159.2877,20201216,1
2.109.84.3159.2877,20201217,1
2.109.84.3159.2877,20201218,1
2.109.84.3159.2877,20201221,1
2.109.84.3159.2877,20201222,1
2.109.84.3159.2877,20201223,1
2.109.84.3159.2877,20201224,1
2.109.84.3159.2877,20201228,1
2.109.84.3159.2877,20201229,1
2.109.84.3159.2877,20201230,1
2.109.84.3159.2877,20201231,1
2.109.84.3159.2877,20210101,1
2.109.84.3159.2877,20210104,1
2.109.84.3159.2877,20210105,1
2.109.84.3159.2877,20210106,1
2.109.84.3159.2877,20210107,1
2.109.84.3159.2877,20210108,1
2.109.84.3159.2877,20210111,1
2.109.84.3159.2877,20210112,1
2.109.84.3159.2877,20210113,1
2.109.84.3159.2877,20210114,1
2.109.84.3159.2877,20210115,1
2.109.84.3159.2877,20210118,1
2.109.84.3159.2877,20210119,1
2.109.84.3159.2877,20210120,1
2.109.84.3159.2877,20210121,1
2.109.84.3159.2877,20210122,1
2.109.84.3159.2877,20210125,1
2.109.84.3159.2877,20210126,1
2.109.84.3159.2877,20210127,1
2.109.84.3159.2877,20210128,1
2.109.84.3159.2877,20210129,1
2.109.84.3159.2877,20210201,1
2.109.84.3159.2877,20210202,1
2.109.84.3159.2877,20210203,1
2.109.84.3159.2877,20210204,1
2.109.84.3159.2877,20210205,1
2.109.84.3159.2877,20210208,1
2.109.84.3159.2877,20210209,1
2.109.84.3159.2877,20210210,1
2.109.84.3159.2877,20210211,1
2.109.84.3159.2877,20210212,1
2.109.84.3240.2877,20200622,1
2.109.84.3240.2877,20200623,1
2.109.84.3240.2877,20200625,1
2.110.21.2671.2893,20200622,1
2.110.21.2671.2893,20200623,1
2.110.21.2671.2893,20200625,1
2.110.21.2671.2893,20200626,1
2.110.21.2671.2893,20200629,1
2.110.21.2671.2893,20200630,1
2.110.21.2671.2893,20200701,1
2.110.21.2671.2893,20200702,1
2.110.21.2671.2893,20200703,1
2.110.21.2671.2893,20200706,1
2.110.21.2671.2893,20200707,1
2.110.21.2671.2893,20200708,1
2.110.21.2671.2893,20200709,1
2.110.21.2671.2893,20200710,1
2.110.21.2671.2893,20200713,1
2.110.21.2671.2893,20200714,1
2.110.21.2671.2893,20200715,1
2.110.21.2671.2893,20200716,1
2.110.21.2671.2893,20200717,1
2.110.21.2671.2893,20200720,1
2.110.21.2671.2893,20200721,1
2.110.21.2671.2893,20200722,1
2.110.21.2671.2893,20200723,1
2.110.21.2671.2893,20200724,1
2.110.21.2671.2893,20200727,1
2.110.21.2671.2893,20200728,1
2.110.21.2671.2893,20200729,1
2.110.21.2671.2893,20200730,1
2.110.21.2671.2893,20200731,1
2.110.21.2671.2893,20200803,1
2.110.21.2671.2893,20200804,1
2.110.21.2671.2893,20200805,1
2.110.21.2671.2893,20200806,1
2.110.21.2671.2893,20200807,1
2.110.21.2671.2893,20200810,1
2.110.21.2671.2893,20200811,1
2.110.21.2671.2893,20200812,1
2.110.21.2671.2893,20200813,1
2.110.21.2671.2893,20200814,1
2.110.21.2671.2893,20200817,1
2.110.21.2671.2893,20200818,1
2.110.21.2671.2893,20200819,1
2.110.21.2671.2893,20200820,1
2.110.21.2671.2893,20200821,1
2.110.21.2671.2893,20200824,1
2.110.21.2671.2893,20200825,1
2.110.21.2671.2893,20200826,1
2.110.21.2671.2893,20200827,1
2.110.21.2671.2893,20200828,1
2.110.21.2671.2893,20200831,1
2.110.21.2671.2893,20200901,1
2.110.21.2671.2893,20200902,1
2.110.21.2671.2893,20200903,1
2.110.21.2671.2893,20200904,1
2.110.21.2671.2893,20200907,1
2.110.21.2671.2893,20200908,1
2.110.21.2671.2893,20200909,1
2.110.21.2671.2893,20200910,1
2.110.21.2671.2893,20200914,1
2.110.21.2671.2893,20200915,1
2.110.21.2671.2893,20200916,1
2.110.21.2671.2893,20200917,1
2.110.21.2671.2893,20200918,1
2.110.21.2671.2893,20200921,1
2.110.21.2671.2893,20200922,1
2.110.21.2671.2893,20200923,1
2.110.21.2671.2893,20200925,1
2.110.21.2671.2893,20200928,1
2.110.21.2671.2893,20200929,1
2.110.21.2671.2893,20200930,1
2.110.21.2671.2893,20201001,1
2.110.21.2671.2893,20201002,1
2.110.21.2671.2893,20201005,1
2.110.21.2671.2893,20201006,1
2.110.21.2671.2893,20201007,1
2.110.21.2671.2893,20201008,1
2.110.21.2671.2893,20201009,1
2.110.21.2671.2893,20201013,1
2.110.21.2671.2893,20201014,1
2.110.21.2671.2893,20201015,1
